rjd,vrad,true_vrad,fwhm,bis_span,contrast,s_mw,ha,na,ca,rhk
59498.55301393988,5685.796911,16.56,15505.619061,22.934439,28.610177,165.13551,0.21337,0.387924,0.128482,-4.810161
59498.5583347599,5691.812542,15.97,15531.146857,59.301544,28.570227,164.385961,0.216201,0.381857,0.127764,-4.814407
59498.56353877019,5695.752521,15.4,15579.574703,33.668885,28.548264,162.696056,0.216369,0.38072,0.126146,-4.824136
59498.56899198983,5686.445336,14.81,15544.346871,50.814559,28.526836,165.664641,0.214596,0.385752,0.128989,-4.807188
59498.57432484999,5707.722254,14.22,15481.668841,55.826742,28.616743,160.738904,0.218712,0.384006,0.124271,-4.835682
59498.57962591015,5716.442727,13.64,15470.98274,51.769231,28.656349,163.201356,0.215684,0.380931,0.12663,-4.821204
59498.58494730992,5736.679499,13.05,15464.407985,98.506038,28.709683,159.639633,0.216231,0.382418,0.123218,-4.842304
59498.59021158004,5739.257736,12.48,15402.48263,100.469704,28.708592,161.414057,0.219598,0.385681,0.124918,-4.831664
59498.59572541993,5736.143469,11.87,15373.252455,90.543443,28.701022,163.530838,0.216426,0.381225,0.126945,-4.819303
59498.60145789012,5749.41771,11.24,15402.103902,67.022276,28.653226,165.868599,0.219983,0.386462,0.129184,-4.806048
59498.607919299975,5742.18477,10.53,15423.423792,34.819918,28.661643,160.603752,0.217025,0.377774,0.124142,-4.836491
59498.61447782023,5738.303842,9.81,15446.981707,22.149308,28.617794,166.099988,0.217576,0.379921,0.129406,-4.804757
59498.62061392004,5740.368953,9.14,15387.814182,21.511857,28.590672,165.460505,0.214741,0.380251,0.128794,-4.808333
59498.62742308993,5735.961362,8.39,15490.819751,-7.075052,28.514058,164.420354,0.217094,0.379448,0.127797,-4.814211
59498.63394663017,5733.39435,7.68,15513.931166,13.42816,28.508973,165.956385,0.214853,0.376158,0.129269,-4.805558
59498.64021007996,5725.979039,6.99,15548.891007,-2.490437,28.47825,166.133627,0.214214,0.377738,0.129438,-4.80457
59498.64671109989,5717.741147,6.28,15554.236587,5.203728,28.505445,165.859363,0.218126,0.37889,0.129176,-4.806099
59498.65342256008,5698.82141,5.54,15592.781003,7.10413,28.470289,166.648898,0.2157,0.378537,0.129932,-4.801712
59498.65993455006,5685.37638,4.83,15616.978097,15.624781,28.469973,162.921745,0.215992,0.378752,0.126362,-4.822824
59498.66622063005,5686.78494,4.14,15622.098019,44.793603,28.443737,165.917167,0.214336,0.380853,0.129231,-4.805776
59498.67256188998,5660.479233,3.44,15655.000647,64.065559,28.449685,164.322421,0.216315,0.377135,0.127703,-4.814769
59498.677768069785,5658.540265,2.87,15591.698105,68.217195,28.438703,165.517486,0.213716,0.378295,0.128848,-4.808013
59498.68317261012,5638.127429,2.28,15589.855336,82.144531,28.471794,166.070206,0.218043,0.376669,0.129378,-4.804923
59498.688593669794,5648.14061,1.68,15557.057216,98.844776,28.465674,164.691276,0.217555,0.380055,0.128057,-4.812672
59498.69348660018,5624.44117,1.15,15561.153475,103.431037,28.535722,167.301211,0.214226,0.377035,0.130557,-4.79812
59498.69929962,5635.742414,0.51,15504.378558,99.984906,28.484683,167.297707,0.216083,0.378287,0.130553,-4.798139
59498.70447220979,5618.014258,-0.06,15512.679885,92.588085,28.578635,165.505533,0.213881,0.378898,0.128837,-4.80808
59498.70965038985,5615.668341,-0.63,15466.177312,91.091936,28.613199,166.062802,0.216018,0.37883,0.129371,-4.804964
59498.71547529008,5625.334928,-1.27,15450.64568,72.660925,28.594591,166.096963,0.216648,0.376674,0.129403,-4.804774
59498.72056098981,5609.521875,-1.83,15441.426989,79.681689,28.648175,167.978203,0.216792,0.37692,0.131205,-4.794424
59498.72593325004,5609.458045,-2.42,15403.951843,56.561684,28.610758,169.129438,0.21465,0.377413,0.132308,-4.788209
59498.7314253198,5616.391975,-3.02,15377.10652,20.277173,28.655282,165.006937,0.215617,0.379177,0.128359,-4.810886
59498.7367241499,5614.568578,-3.6,15365.52562,41.856721,28.695159,166.025176,0.215705,0.379469,0.129334,-4.805174
59498.74181678984,5626.21451,-4.16,15371.943929,20.756718,28.66661,163.737048,0.216104,0.38098,0.127143,-4.818117
59498.74734319979,5621.684934,-4.76,15380.21549,4.747026,28.756321,162.738666,0.215204,0.37716,0.126186,-4.823888
59498.75263524987,5627.025698,-5.35,15383.022657,5.653118,28.7123,166.204806,0.214641,0.378502,0.129507,-4.804174
59498.75810230011,5637.509675,-5.94,15422.63264,8.245796,28.757908,165.81462,0.214995,0.379382,0.129133,-4.806349
59498.76331742015,5648.963452,-6.52,15465.795997,24.190927,28.628588,166.477866,0.217741,0.380257,0.129768,-4.802658
59498.76867270982,5655.384379,-7.1,15479.867668,37.028112,28.590062,163.814378,0.216079,0.378616,0.127217,-4.817673
